name,department,school,tags,rating,take_again,difficulty,avg_gpa
"TERRY, J.",Women's Studies,UC Irvine,"{'BEWARE OF POP QUIZZES': 1, 'Beware of pop quizzes': 1, 'Caring': 1, 'Get ready to read': 4, 'LECTURE HEAVY': 1, 'Lots of homework': 2, ""Skip class? You won't pass."": 1, 'TEST HEAVY': 1, 'Tough grader': 2}",3.8,67,3.0,3.404166666666667
"TERRY, J.",Women's Studies,UC Irvine,"{'Amazing lectures': 1, 'BEWARE OF POP QUIZZES': 2, 'Beware of pop quizzes': 1, 'Get ready to read': 5, 'Gives good feedback': 1, 'Inspirational': 3, 'Lecture heavy': 1, 'Lots of homework': 1, 'Participation matters': 3, 'Respected': 4, ""Skip class? You won't pass."": 1, 'Tough grader': 1}",4.0,72,3.3,3.404166666666667
"SOLINGER, D.",Political Science,UC Irvine,"{'Get ready to read': 1, 'Gives good feedback': 2, 'Inspirational': 2, 'Lots of homework': 1, 'Tough Grader': 1, 'Tough grader': 1}",3.6,34,3.3,2.7916666666666665
"FOREMAN, M.",Mathematics,UC Irvine,"{'Amazing lectures ': 1, 'Graded by few things': 1, 'Lecture heavy': 4, 'Lots of homework': 5, 'Participation matters': 3, ""Skip class? You won't pass."": 2, 'Tough grader': 5}",3.0,40,4.9,2.526363636363637
"COUTIN, S.",Criminal Justice,UC Irvine,{},3.8,N/,2.6,3.705714285714286
"SCHERSON, I.",Computer Science,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 4, 'Accessible outside class': 1, 'Amazing lectures': 5, 'Amazing lectures ': 2, 'Caring': 4, 'Clear grading criteria': 1, 'EXTRA CREDIT': 1, 'GROUP PROJECTS': 3, 'Gives good feedback': 1, 'Hilarious': 5, 'Inspirational': 4, 'LECTURE HEAVY': 1, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1, 'Participation matters': 1, 'Respected': 1, ""Skip class? You won't pass."": 1}",4.1,85,2.9,3.148181818181818
"SKAPERDAS, S.",Economics,UC Irvine,{},2.4,N/,2.9,3.3025
"ROSENBERG, S.",Political Science,UC Irvine,"{'Get ready to read': 2, 'Participation matters': 2, 'So many papers': 2}",3.1,0,3.3,3.015555555555556
"TREGLIA, J.",English,UC Irvine,"{'Clear grading criteria': 1, 'Gives good feedback': 1, 'Hilarious': 1}",4.9,N/,2.6,2.7
"MCWILLIAMS, R.",Physics & Astronomy,UC Irvine,"{'Amazing lectures': 1, 'Lecture heavy': 1, 'Participation matters': 1, 'Respected': 2, ""Skip class? You won't pass."": 2, 'Tests? Not many': 1, 'Tough grader': 1}",2.8,100,4.0,2.9475
