name,department,school,rating,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework
"BOGART, D.",Psychology  Social Behavior,UC Irvine,3.3,67,3.3,3.068888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KATRAK, K.",Ethnic Studies,UC Irvine,3.5,0,2.4,3.6959999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KNIGHTEN, L.",English,UC Irvine,3.5,N/,3.6,3.0450000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BURLEY, N.",Biology,UC Irvine,3.4,44,3.9,3.1924137931034484,0,0,11,3,3,0,0,9,7,0,0,0,0,9,0,7
"KAUFMAN, S.",Humanities,UC Irvine,4.5,N/,3.0,3.545714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAMES, A.",Biology,UC Irvine,2.7,N/,3.2,3.436818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAMES, A.",Philosophy,UC Irvine,3.3,45,2.8,3.436818181818182,4,0,8,0,0,0,5,0,0,0,0,0,0,3,0,0
"TREAS, J.",Sociology,UC Irvine,2.3,N/,3.9,2.983333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HAMBER, F.",Languages,UC Irvine,4.9,N/,2.1,3.193888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCHLOSSER, S.",International Studies,UC Irvine,3.9,100,2.5,3.313870967741936,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"FAN, H.",Biology,UC Irvine,3.9,N/,3.2,2.7725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMITH, D.",Sociology,UC Irvine,3.6,60,3.1,3.095,0,0,5,3,4,0,0,3,0,0,0,0,0,4,0,0
"SMITH, D.",Philosophy,UC Irvine,2.7,29,2.6,3.095,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0
"SMITH, D.",Philosophy,UC Irvine,3.1,63,2.3,3.095,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0
"MAXSON, C.",Criminal Justice,UC Irvine,3.3,0,3.0,2.638333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QUAS, J.",Psychology,UC Irvine,4.1,100,3.2,3.397058823529412,3,0,7,0,0,0,0,0,0,0,3,0,0,4,3,0
"QUAS, J.",Psychology  Social Behavior,UC Irvine,4.3,50,2.7,3.397058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATCHELDER, W.",Psychology,UC Irvine,3.5,0,2.6,2.773076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAHILL, L.",Biology,UC Irvine,3.7,20,4.0,3.1224000000000007,0,0,0,4,4,0,0,5,0,0,0,0,0,3,0,0
"HEMMINGER, J.",Chemistry,UC Irvine,3.8,15,2.8,2.67,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHIAMPI, J.",Humanities,UC Irvine,4.5,100,2.8,3.3490909090909096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BACHMAN, M.",Engineering,UC Irvine,4.2,100,2.4,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIM, F.",Film,UC Irvine,3.9,67,2.8,3.2927586206896544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"BARRETT, J.",Logic & Philosophy,UC Irvine,4.3,100,3.0,3.701428571428572,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"POULOS, T.",Biology,UC Irvine,3.2,23,3.1,2.645,0,0,4,5,0,0,0,0,3,0,0,0,0,0,0,0
"ALLEN, B.",Writing,UC Irvine,4.2,50,3.8,2.8183333333333334,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"KIM, K.",Women's Studies,UC Irvine,4.5,100,3.1,3.301851851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIM, K.",Film,UC Irvine,2.9,50,2.6,3.301851851851852,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"KIM, K.",Film,UC Irvine,2.9,50,2.6,3.301851851851852,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"LONNER, M.",Fine Arts,UC Irvine,4.4,N/,3.3,3.744705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
