instructor,avg_gpa
"MORRIS, W.",3.749473684210526
"RICHEY, T.",3.75775
"LETOURNEAU, D.",3.63695652173913
"DANLEY, S.",3.05
"TURNER, J.",3.6060000000000003
"HITE, J.",3.5545945945945943
"FAMIGLIETTI, C.",2.1275000000000004
"ISIK, M.",2.974285714285714
"GIOVANGIGLI, L.",2.4099999999999997
"KOMAROVA, N.",2.837142857142857
"SUBRAMANIAN, S.",2.426
"BRODERICK, R.",2.424
"HEZARI, H.",2.81
"KACHKOVSKIY, I.",2.548888888888889
"WANG, Q.",2.8766666666666665
"ELGART, A.",3.08
"SILVERBERG, A.",2.4499999999999997
"TRAN, H.",2.3358333333333334
"LIU, K.",2.4212499999999997
"DUONG, S.",2.164
"PANTANO, A.",3.1453061224489796
"LOWENGRUB, J.",3.509090909090909
"KRUPCHYK, K.",3.053846153846154
"ALLARD, J.",2.7577777777777777
"WILSON, T.",2.5733333333333337
"XU, G.",2.5961538461538463
"WIYGUL, D.",2.5125
"STREETS, J.",2.490909090909091
"ZEMAN, M.",2.5
"KIM, C.",3.423333333333333
"DABDUB, D.",2.9658333333333338
"DIMAS, D.",3.1341666666666668
"RANGEL, R.",3.264615384615385
"PUGA, A.",2.966666666666667
"MCDONELL, V.",3.535
"BROUWER, J.",3.3810344827586207
"WANG, Y.",3.74078125
"LIEBECK, R.",3.3308823529411766
"KULINSKY, L.",3.394594594594595
"SIDERIS, A.",2.877
"MCCARTHY, J.",3.924905660377358
"REINKENSMEYER, D.",3.780714285714286
"MEASE, K.",3.4916666666666667
"TAHA, H.",3.667666666666667
"ALEXANDER, K.",3.69
"GRIFFITT, BEDELIAN.",3.487727272727273
"SCHAER, M.",3.5425
"KNIGHT, R.",3.0380000000000003
"DOBRIAN, J.",3.4381250000000003
"REARDON, C.",2.6139130434782603
"OMOUMI, H.",3.7686956521739132
"BUCK, R.",3.8666666666666667
"TUCKER, S.",3.9117857142857146
"MCKEOWN, K.",4.0
"PARKINS, M.",3.9949999999999997
"RODRIGUEZ, B.",3.9422727272727274
"MULNARD, R.",3.62
"MOVIUS, M.",3.8240000000000003
"EVANGELISTA, L.",3.6424999999999996
"MILBURY, B.",3.015
"MIRANDA-WOOD, C.",3.64
"SAUNDERS, K.",3.6890909090909094
"KIAN, S.",3.883529411764706
"MOBLEY, D.",3.5575
"ZHAO, W.",3.73
"GREENBERG, S.",2.8705000000000003
"PERIN, C.",3.4095000000000004
"HELMREICH, J.",3.3104347826086955
"WALSH, S.",2.913846153846154
"SCHWAB, M.",3.4299999999999997
"FIOCCO, M.",2.7670000000000003
"JOLLEY, S.",2.9699999999999998
"SHANAHAN, T.",3.588125
"HYDE, K.",3.67
"DALY, A.",3.4978260869565223
"BARTH, A.",2.9564285714285714
"SIWY, Z.",3.5293548387096774
"WU, R.",2.88
"SOBEL, H.",2.475
"KIRKBY, A.",3.021818181818182
"XIA, J.",3.1733333333333333
"SMY, M.",2.545
"RAJARAMAN, A.",2.914
"WHITESON, D.",3.167222222222222
"MURGIA, S.",3.4675000000000002
"TRIMBLE, V.",3.2487500000000002
"CHERNYSHEV, A.",2.92
"KIRKBY, D.",3.164054054054054
"COOPER, M.",3.5430188679245287
"COORAY, A.",3.46875
"FENG, J.",3.445333333333333
"KAPLINGHAT, M.",2.8775
"HANNINEN, A.",2.82
"HO, W.",2.9583870967741936
"YU, C.",2.7535
"RENDON, M.",2.9038888888888885
"CHEW, K.",3.0936363636363637
"KIM, J.",3.237878787878788
"MAZUMDAR, S.",3.14234375
"FELDMAN, M.",3.7975000000000003
"BOUSHEY, G.",3.41
