name,department,school,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework,rating,score,total_tags
"CHEN, S.",Writing,UC Irvine,0,3.0,3.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.7198892,0
"HEMMINGER, J.",Chemistry,UC Irvine,15,2.8,2.67,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.7178516,3
"LOCKWOOD, E.",International Studies,UC Irvine,60,3.3,3.017857142857143,4,0,7,0,0,0,0,5,5,0,0,0,0,0,0,0,3.9,3.7170036,21
"PONTELL, H.",Criminal Justice,UC Irvine,60,2.6,3.1062162162162164,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.715438,4
"MOULIK, S.",Business,UC Irvine,72,2.6,3.749249999999999,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4.0,3.7152777,14
"PETERSON, E.",Writing,UC Irvine,,3.4,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.714892,0
"CARLTON, A.",Chemistry,UC Irvine,64,3.3,3.4490000000000003,0,3,0,0,0,0,0,0,0,0,0,5,3,3,0,0,3.5,3.7145355,14
"TSENG, L.",Mathematics,UC Irvine,75,2.5,2.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.7119124,0
"TURNER, S.",Criminal Justice,UC Irvine,56,3.9,3.126666666666667,5,0,0,0,7,0,9,8,8,0,0,0,0,0,0,0,3.8,3.7103856,37
"BERNAL, V.",Anthropology,UC Irvine,65,2.3,3.3622222222222224,7,0,7,0,0,0,4,5,0,0,0,0,0,0,0,0,2.5,3.7090714,23
"HEINE, B.",Psychology,UC Irvine,77,3.8,2.9011764705882355,0,0,11,7,0,0,0,0,3,0,0,0,0,0,0,3,3.9,3.707446,24
