name, department, school, tags, rating, take_again, difficulty
Ruben G. Rumbaut,Sociology,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures': 1, 'EXTRA CREDIT': 2, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 5, 'Gives good feedback': 1, 'Graded by few things': 3, 'Inspirational': 1, 'LECTURE HEAVY': 1, 'Lecture heavy': 2, 'Test heavy': 3}",2.5,50,3.1
Sara Joyce Robinson,English,UC Irvine,{},4.8,N/,2.4
Thomas David Boellstorff,Anthropology,UC Irvine,{},4.7,N/,1.9
Andrea J. Tenner,Biology,UC Irvine,"{'Get ready to read': 2, 'Graded by few things': 4, 'Lecture heavy': 5, 'Participation matters': 1, ""Skip class? You won't pass."": 1, 'Test heavy': 7, 'Tough grader': 6}",3.3,40,4
Jennifer A. Robinson,Criminal Justice,UC Irvine,{},3,N/,3.4
Walter T. Sondey,English,UC Irvine,{},4.3,N/,2.3
R. Hank Stevens,Social Science,UC Irvine,{},2.4,N/,2.7
Minh-tam Thi Tran,Languages,UC Irvine,{},3.4,N/,2.3
Tam Schumann,Criminal Justice,UC Irvine,"{'Accessible outside class': 2, 'Caring': 2, 'Respected': 2}",4.6,100,4
Eric Neil Strand,English,UC Irvine,{},3.5,N/,2.9
Richard A. Minot,Business,UC Irvine,"{'Gives good feedback': 1, 'Hilarious': 1, 'Inspirational': 1, 'Participation matters': 1, 'Would take again': 1}",3.2,N/,2.9
Chrisy Moutsatsos,Anthropology,UC Irvine,{},3.8,N/,2.3
Donald Saari,Economics,UC Irvine,"{'Beware of pop quizzes': 3, 'Get ready to read': 2, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1, 'Participation matters': 2, 'Respected': 1, ""Skip class? You won't pass."": 3}",3.9,34,3.7
Paige Davis,English,UC Irvine,{},3.2,N/,4
Martin Schwab,Philosophy,UC Irvine,{},3.6,N/,3
Thomas M. Bertolini,Chemistry,UC Irvine,"{'Amazing lectures ': 1, 'Get ready to read': 2, 'Graded by few things': 1, 'Hilarious': 1, 'Tests are tough': 1, 'Tough grader': 2}",4.1,N/,3.1
Henry N. Pontell,Criminal Justice,UC Irvine,"{'Amazing lectures ': 1, 'Clear grading criteria': 2, 'EXTRA CREDIT': 1, 'Get ready to read': 4, 'Graded by few things': 1, 'Inspirational': 1, 'Respected': 2, 'Tough grader': 1, 'Would take again': 1}",3.8,60,2.6
Marie Cartier,Film,UC Irvine,"{'Graded by few things': 2, 'Group projects': 2, 'Participation matters': 2}",2.7,0,2.6
Elizabeth Mathews Losh,Humanities,UC Irvine,"{'Respected': 1, 'Would take again': 1}",4.2,N/,2.8
Roger H. Rangel,Engineering,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 3, 'Amazing lectures ': 1, 'BEWARE OF POP QUIZZES': 2, 'Caring': 1, 'Clear grading criteria': 2, 'Get ready to read': 1, 'Gives good feedback': 1, 'Inspirational': 1, 'LECTURE HEAVY': 2, 'Lots of homework': 1, 'Participation matters': 4, 'Respected': 6, ""Skip class? You won't pass."": 2, 'TEST HEAVY': 2, 'Tough Grader': 1, 'Tough grader': 2}",4,82,3.9
Daniel D. Gajski,Engineering,UC Irvine,{},2.4,N/,3.5
Dina Lynn Al-Kassim,Comparative Literature,UC Irvine,{},3.1,N/,4.2
Veronica Eckstein,Psychology,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures ': 2, 'Gives good feedback': 2, 'Hilarious': 2, 'Inspirational': 2, 'Participation matters': 2}",5,100,2.8
Barbara J. Finlayson-Pitts,Chemistry,UC Irvine,{},2.6,N/,3.4
Stephen Nicholas Jolley,Philosophy,UC Irvine,"{'Amazing lectures ': 1, 'Get ready to read': 1, 'Tough grader': 1}",3.7,N/,3
Yang Su,Sociology,UC Irvine,{},3.2,N/,2.1
Syed I. Ahmed,Engineering,UC Irvine,"{'TEST HEAVY': 1, 'Test heavy': 1}",3.4,0,2.8
Robert W. Byde,Psychology,UC Irvine,{},4.5,N/,2.5
Howard G. Tucker,Mathematics,UC Irvine,{},2.4,N/,3.6
Maria C. Pantelia,Classics,UC Irvine,"{'Amazing lectures ': 1, 'Clear grading criteria': 1, 'Would take again': 1}",4.1,N/,1.9
Alfred Kobsa,Computer Science,UC Irvine,"{'Caring': 3, 'Clear grading criteria': 2, 'GROUP PROJECTS': 1, 'Group projects': 1, 'Participation matters': 2, 'Respected': 1, 'Would take again': 2}",4.5,100,2.4
Michael M. Green,Engineering,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 2, 'Amazing lectures ': 1, 'Caring': 2, 'Inspirational': 1, 'Participation matters': 1, 'Respected': 1, ""Skip class? You won't pass."": 3, 'Tough Grader': 1, 'Tough grader': 1}",4.7,100,4.2
Mehdi Beheshtian Ardekani,Computer Science,UC Irvine,{},3.9,N/,3.8
Ava Lee Arndt,Humanities,UC Irvine,{},4.1,N/,2.4
Lynn Mally,History,UC Irvine,{},4.6,N/,2.6
Andrea Colvin,Languages,UC Irvine,{},4.7,N/,2.7
Gerardo D. Canul,Psychology,UC Irvine,{},3,N/,2.7
James S. Nowick,Chemistry,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Caring': 1, 'EXTRA CREDIT': 2, 'Get ready to read': 1, 'Graded by few things': 1, 'Inspirational': 1, ""Skip class? You won't pass."": 2, 'Test heavy': 1, 'Tough grader': 1}",4,100,3.8
Philippe A. Barbe,Languages,UC Irvine,{},4,N/,2.7
Frances Miller,Public Health,UC Irvine,"{'Lots of homework': 1, 'Participation matters': 1, ""Skip class? You won't pass."": 1}",2.3,N/,2.8
Alexander V. Sadovsky,Mathematics,UC Irvine,{},2.8,N/,3.1
Lina Haddad Kreidie,Social Science,UC Irvine,{},3.2,N/,2.7
Tri Chan Tran,Languages,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures': 1, 'Caring': 4, 'Gives good feedback': 1, 'Graded by few things': 4, 'Hilarious': 4, 'Inspirational': 3, 'Lecture heavy': 1, 'Participation matters': 1, 'Respected': 6, 'Test heavy': 2}",3.9,60,2.8
Fabio Leite,Psychology,UC Irvine,{},3.5,N/,2.8
Douglas R. White,Anthropology,UC Irvine,{},1.9,N/,2.7
Belinda Robnett,Sociology,UC Irvine,"{'Caring': 1, 'EXTRA CREDIT': 1, 'Get ready to read': 2, 'Gives good feedback': 1, 'LOTS OF HOMEWORK': 1, 'Participation matters': 1, ""Skip class? You won't pass."": 2, 'Tough grader': 1}",4,100,2.2
Jeanne Bickford,Criminal Justice,UC Irvine,{},3.8,N/,1.9
Daniel E. Bogart,Economics,UC Irvine,"{'Get ready to read': 3, 'Inspirational': 1, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1, 'SO MANY PAPERS': 1, 'So many papers': 2, 'Tough grader': 2}",3.8,0,3.3
James V. Lambers,Mathematics,UC Irvine,{},4.7,N/,1.9
Roxane Cohen Silver,Psychology,UC Irvine,"{""Skip class? You won't pass."": 1}",3.7,0,3.3
Linda F. Bauer,Fine Arts,UC Irvine,{},4.4,N/,3.6
K.H. Katrak,Ethnic Studies,UC Irvine,"{'Get ready to read': 2, 'Lots of homework': 1, 'Tough Grader': 1, 'Tough grader': 1}",3.5,0,2.4
Laura Knighten,English,UC Irvine,"{'Caring': 1, 'Clear grading criteria': 1, 'Get ready to read': 1, 'Gives good feedback': 1, ""Skip class? You won't pass."": 1}",3.5,N/,3.6
James Arvo,Engineering,UC Irvine,{},4.6,N/,2.7
Nancy Burley,Biology,UC Irvine,"{'Clear grading criteria': 1, 'EXTRA CREDIT': 3, 'Get ready to read': 11, 'Lecture heavy': 9, 'Lots of homework': 7, 'Participation matters': 9, ""Skip class? You won't pass."": 3, 'Test heavy': 7, 'Tough grader': 3}",3.4,44,3.9
Scott Kaufman,Humanities,UC Irvine,{},4.5,N/,3
John Culbert,Comparative Literature,UC Irvine,"{'Get ready to read': 1, 'Lecture heavy': 1, 'Tough grader': 1}",4,N/,2.3
Anthony A. James,Biology,UC Irvine,{},2.7,N/,3.2
Timothy Tackett,History,UC Irvine,{},4.5,N/,2.6
Judith Treas,Sociology,UC Irvine,"{'Beware of pop quizzes': 1, 'EXTRA CREDIT': 1, 'Inspirational': 1}",2.3,N/,3.9
Duran Bell,Economics,UC Irvine,{},2,N/,3.8
Kitty C. Calavita,Criminal Justice,UC Irvine,{},4.5,N/,2.9
Franca Hamber,Languages,UC Irvine,"{'Amazing lectures ': 1, 'Participation matters': 1, 'Respected': 1, ""Skip class? You won't pass."": 1, 'Would take again': 1}",4.9,N/,2.1
David Brownstone,Economics,UC Irvine,{},1.7,N/,3.9
Gian Aldo Antonelli,Philosophy,UC Irvine,"{'Amazing lectures ': 1, 'Caring': 1, 'Clear grading criteria': 1, 'Tests? Not many': 1, 'Would take again': 1}",4.5,N/,2.3
Seymour A. Schlosser,International Studies,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Caring': 2, 'Gives good feedback': 2, 'Inspirational': 3, 'Respected': 2}",3.9,100,2.5
Hung Fan,Biology,UC Irvine,"{'Lecture heavy': 1, 'Tests are tough': 1, 'Tough grader': 1, 'Would take again': 1}",3.9,N/,3.2
