name,department,school,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework,rating,score,total_tags
"GOLDSTEIN, R.",International Studies,UC Irvine,100,2.0,3.798,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,5.0,4.9840703,10
"MANCHAK, J.",Logic  Philosophy,UC Irvine,100,1.6,3.911666666666666,0,8,0,0,0,0,0,0,0,15,10,14,0,3,7,0,5.0,4.9832745,57
"JAFARI, M.",Pharmaceutical Sciences,UC Irvine,100,2.4,3.8016,0,7,0,3,0,0,0,0,0,9,4,6,0,0,0,0,5.0,4.9832063,29
"BRODY, J.",Biomedical,UC Irvine,100,1.1,3.51375,7,6,0,0,0,0,5,0,0,0,0,7,0,0,0,0,4.9,4.9828544,25
"WILLIAMS, A.",Biology,UC Irvine,51,4.1,3.5178571428571423,4,0,8,0,4,0,0,0,5,0,0,6,0,7,3,0,5.0,4.9825864,37
"PENNER, A.",Sociology,UC Irvine,100,2.5,3.7761538461538464,4,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,5.0,4.9817185,13
"NGUYEN, H.",Biological Sciences,UC Irvine,100,3.8,3.643333333333333,0,5,0,0,0,9,0,0,0,8,9,8,0,0,0,0,5.0,4.9809256,39
"SHANK, D.",Writing,UC Irvine,100,1.0,3.3480000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.979361,0
"SWIFT, L.",Writing,UC Irvine,100,1.0,3.347777777777777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.979361,0
"DOUGLAS, T.",Anthropology,UC Irvine,97,1.5,3.5414035087719298,6,6,14,0,0,0,3,0,0,0,0,8,0,0,0,0,5.0,4.978869,37
"WILLIAMS, D.",Psychology & Social Behavior,UC Irvine,100,2.2,3.8,0,0,0,3,0,0,4,0,0,0,0,5,0,0,0,0,5.0,4.977858,12
